Project_Size,Weather_Conditions,Labor_Availability,Material_Availability,Site_Conditions,Government_Approvals,Budget_Issues,Equipment_Availability,Planned_Duration_Days,Actual_Completion_Days
Medium,Clear,Insufficient,On-time,Moderate,Pending,No,Available,114,136
Large,Snow,Insufficient,Delayed,Good,Pending,Yes,Available,112,152
Medium,Rain,Insufficient,On-time,Bad,Approved,No,Available,315,363
Medium,Storm,Sufficient,On-time,Moderate,Approved,No,Delayed,128,151
Small,Snow,Sufficient,Delayed,Good,Approved,No,Delayed,245,287
Large,Rain,Insufficient,Delayed,Good,Approved,No,Delayed,144,171
Medium,Clear,Sufficient,On-time,Good,Pending,No,Delayed,200,232
Small,Storm,Insufficient,Delayed,Good,Approved,Yes,Delayed,42,57
Small,Storm,Insufficient,Delayed,Bad,Approved,No,Available,56,86
Small,Clear,Insufficient,On-time,Moderate,Approved,Yes,Delayed,276,294
Small,Storm,Insufficient,On-time,Moderate,Pending,Yes,Available,207,222
Small,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,237,269
Large,Storm,Sufficient,Delayed,Moderate,Pending,Yes,Available,194,216
Medium,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,173,203
Medium,Storm,Sufficient,On-time,Bad,Pending,No,Available,262,304
Large,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,196,219
Small,Clear,Sufficient,On-time,Good,Pending,Yes,Available,32,78
Medium,Storm,Insufficient,Delayed,Bad,Approved,No,Delayed,185,206
Large,Storm,Sufficient,On-time,Bad,Pending,No,Available,37,48
Large,Snow,Sufficient,On-time,Moderate,Pending,Yes,Available,187,231
Large,Rain,Sufficient,Delayed,Good,Approved,No,Available,78,111
Medium,Rain,Sufficient,On-time,Moderate,Pending,Yes,Delayed,118,133
Small,Rain,Insufficient,On-time,Moderate,Approved,Yes,Delayed,287,304
Small,Storm,Insufficient,Delayed,Moderate,Approved,No,Available,312,350
Large,Rain,Sufficient,On-time,Good,Pending,No,Delayed,316,333
Medium,Clear,Insufficient,On-time,Moderate,Approved,No,Available,204,248
Small,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Available,247,261
Small,Rain,Sufficient,On-time,Bad,Pending,No,Available,317,350
Medium,Clear,Insufficient,Delayed,Bad,Pending,Yes,Delayed,248,259
Medium,Snow,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,259,276
Medium,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Available,59,100
Small,Rain,Insufficient,On-time,Good,Pending,Yes,Available,210,236
Large,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,341,389
Medium,Rain,Insufficient,Delayed,Bad,Pending,Yes,Delayed,241,275
Small,Rain,Sufficient,On-time,Moderate,Pending,Yes,Available,272,291
Large,Storm,Insufficient,Delayed,Good,Pending,No,Delayed,334,366
Large,Clear,Insufficient,On-time,Moderate,Pending,No,Available,116,143
Medium,Snow,Insufficient,On-time,Good,Approved,Yes,Available,265,284
Medium,Storm,Insufficient,Delayed,Bad,Approved,Yes,Available,121,150
Large,Storm,Sufficient,On-time,Bad,Approved,No,Delayed,117,145
Large,Storm,Sufficient,On-time,Moderate,Pending,Yes,Available,83,125
Medium,Rain,Insufficient,Delayed,Good,Approved,No,Delayed,299,324
Small,Snow,Insufficient,On-time,Bad,Pending,No,Available,203,225
Small,Rain,Insufficient,On-time,Bad,Approved,No,Delayed,244,277
Medium,Snow,Sufficient,On-time,Good,Pending,No,Available,33,80
Medium,Snow,Sufficient,Delayed,Good,Pending,Yes,Available,164,206
Medium,Storm,Sufficient,Delayed,Bad,Approved,Yes,Available,149,185
Large,Rain,Insufficient,On-time,Bad,Approved,No,Available,73,115
Large,Clear,Insufficient,Delayed,Good,Pending,Yes,Available,49,81
Large,Rain,Insufficient,On-time,Moderate,Pending,No,Delayed,313,362
Small,Rain,Insufficient,Delayed,Good,Pending,No,Available,280,321
Large,Clear,Insufficient,On-time,Bad,Approved,No,Delayed,166,184
Medium,Snow,Sufficient,On-time,Bad,Pending,Yes,Delayed,361,385
Medium,Clear,Sufficient,On-time,Good,Pending,No,Delayed,120,161
Large,Snow,Insufficient,Delayed,Moderate,Approved,No,Delayed,134,157
Small,Storm,Insufficient,On-time,Bad,Pending,Yes,Delayed,240,270
Small,Snow,Insufficient,On-time,Good,Pending,Yes,Available,319,336
Small,Clear,Insufficient,On-time,Bad,Approved,Yes,Available,78,116
Large,Snow,Sufficient,Delayed,Good,Pending,No,Delayed,301,326
Small,Rain,Insufficient,On-time,Bad,Approved,Yes,Available,244,271
Large,Snow,Insufficient,On-time,Good,Approved,Yes,Available,320,351
Small,Storm,Sufficient,On-time,Good,Pending,Yes,Available,304,319
Small,Snow,Insufficient,On-time,Good,Approved,No,Delayed,41,86
Large,Clear,Insufficient,On-time,Good,Pending,No,Available,149,197
Medium,Rain,Sufficient,Delayed,Good,Approved,Yes,Delayed,126,169
Large,Snow,Insufficient,On-time,Bad,Approved,No,Available,290,305
Large,Clear,Insufficient,On-time,Bad,Pending,No,Available,188,235
Small,Storm,Insufficient,Delayed,Good,Approved,Yes,Delayed,79,107
Large,Clear,Sufficient,On-time,Bad,Pending,Yes,Available,287,321
Medium,Storm,Sufficient,On-time,Bad,Pending,Yes,Delayed,289,306
Large,Snow,Insufficient,On-time,Moderate,Pending,No,Available,42,88
Small,Clear,Sufficient,On-time,Moderate,Approved,No,Available,321,319
Large,Clear,Insufficient,On-time,Good,Approved,No,Delayed,81,98
Medium,Storm,Sufficient,On-time,Good,Pending,Yes,Available,191,225
Small,Rain,Insufficient,Delayed,Good,Pending,No,Available,152,168
Small,Storm,Sufficient,On-time,Bad,Approved,Yes,Available,279,324
Medium,Rain,Sufficient,On-time,Good,Approved,Yes,Delayed,144,167
Small,Clear,Insufficient,On-time,Good,Pending,Yes,Delayed,282,311
Small,Snow,Sufficient,On-time,Good,Pending,Yes,Available,252,275
Medium,Rain,Insufficient,On-time,Bad,Approved,Yes,Available,34,82
Medium,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,109,139
Large,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,145,187
Medium,Storm,Sufficient,On-time,Good,Pending,Yes,Available,249,263
Medium,Snow,Sufficient,Delayed,Good,Pending,Yes,Delayed,161,171
Large,Snow,Sufficient,On-time,Moderate,Pending,No,Available,150,182
Medium,Storm,Insufficient,On-time,Good,Pending,No,Delayed,277,291
Medium,Clear,Insufficient,On-time,Good,Pending,No,Delayed,239,274
Large,Storm,Insufficient,Delayed,Good,Pending,Yes,Available,59,103
Small,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,343,360
Large,Rain,Insufficient,On-time,Bad,Approved,No,Available,243,256
Medium,Snow,Sufficient,On-time,Good,Approved,No,Delayed,73,106
Small,Snow,Sufficient,On-time,Moderate,Pending,No,Available,364,403
Medium,Storm,Insufficient,On-time,Bad,Pending,Yes,Available,78,110
Small,Clear,Sufficient,Delayed,Good,Pending,Yes,Available,136,160
Medium,Clear,Insufficient,On-time,Good,Pending,Yes,Available,74,88
Small,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,251,285
Medium,Clear,Insufficient,On-time,Good,Approved,No,Delayed,221,245
Large,Clear,Insufficient,On-time,Bad,Pending,Yes,Delayed,264,291
Large,Rain,Sufficient,Delayed,Bad,Pending,Yes,Delayed,109,155
Medium,Storm,Insufficient,Delayed,Good,Pending,No,Delayed,94,126
Medium,Snow,Sufficient,On-time,Good,Approved,No,Available,315,359
Medium,Snow,Sufficient,Delayed,Moderate,Approved,Yes,Available,299,312
Medium,Storm,Insufficient,Delayed,Good,Pending,No,Available,274,307
Large,Snow,Insufficient,Delayed,Bad,Pending,No,Available,274,315
Small,Snow,Insufficient,On-time,Bad,Approved,No,Delayed,67,86
Small,Rain,Insufficient,On-time,Good,Pending,No,Delayed,193,211
Small,Storm,Insufficient,On-time,Bad,Pending,Yes,Delayed,364,413
Small,Clear,Sufficient,On-time,Bad,Approved,Yes,Available,322,344
Medium,Snow,Sufficient,Delayed,Bad,Pending,No,Available,326,362
Large,Snow,Sufficient,Delayed,Good,Pending,Yes,Delayed,173,201
Medium,Rain,Sufficient,Delayed,Good,Approved,Yes,Delayed,236,251
Small,Snow,Sufficient,On-time,Good,Approved,No,Available,265,314
Medium,Storm,Sufficient,Delayed,Bad,Pending,No,Available,238,250
Small,Rain,Sufficient,On-time,Bad,Pending,Yes,Available,277,294
Medium,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Available,287,322
Medium,Snow,Sufficient,On-time,Good,Approved,Yes,Available,160,186
Medium,Clear,Sufficient,Delayed,Bad,Pending,Yes,Available,169,215
Medium,Clear,Insufficient,On-time,Good,Approved,No,Available,178,199
Large,Storm,Insufficient,On-time,Moderate,Pending,Yes,Delayed,342,357
Medium,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,69,88
Large,Clear,Insufficient,Delayed,Good,Pending,No,Available,261,304
Large,Storm,Insufficient,On-time,Moderate,Approved,Yes,Available,291,325
Large,Rain,Insufficient,On-time,Bad,Approved,Yes,Delayed,203,222
Small,Snow,Sufficient,Delayed,Good,Approved,No,Delayed,189,225
Medium,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,130,178
Small,Clear,Sufficient,Delayed,Bad,Pending,Yes,Available,301,340
Large,Clear,Sufficient,Delayed,Bad,Pending,Yes,Delayed,132,158
Large,Snow,Insufficient,Delayed,Bad,Approved,Yes,Delayed,291,314
Medium,Clear,Insufficient,Delayed,Good,Pending,Yes,Available,260,298
Small,Rain,Insufficient,Delayed,Bad,Approved,No,Delayed,316,343
Large,Storm,Sufficient,Delayed,Moderate,Approved,No,Delayed,58,89
Medium,Rain,Insufficient,On-time,Moderate,Pending,No,Delayed,276,293
Small,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,282,308
Medium,Snow,Sufficient,On-time,Bad,Approved,Yes,Delayed,354,394
Large,Rain,Sufficient,Delayed,Good,Pending,Yes,Delayed,228,269
Small,Clear,Insufficient,On-time,Bad,Approved,Yes,Available,161,181
Small,Rain,Sufficient,Delayed,Good,Approved,No,Available,112,146
Small,Clear,Insufficient,On-time,Bad,Approved,No,Available,362,409
Medium,Clear,Sufficient,Delayed,Bad,Approved,Yes,Delayed,354,396
Small,Snow,Sufficient,Delayed,Bad,Approved,Yes,Available,75,98
Small,Rain,Insufficient,On-time,Moderate,Pending,Yes,Delayed,214,228
Large,Rain,Sufficient,On-time,Bad,Pending,Yes,Available,121,147
Small,Snow,Insufficient,Delayed,Good,Approved,Yes,Available,93,115
Medium,Clear,Sufficient,Delayed,Bad,Approved,No,Available,78,111
Large,Storm,Insufficient,Delayed,Good,Pending,No,Available,247,275
Medium,Snow,Sufficient,On-time,Moderate,Approved,No,Delayed,337,365
Large,Snow,Insufficient,Delayed,Good,Pending,Yes,Delayed,149,193
Medium,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,234,270
Medium,Rain,Sufficient,On-time,Moderate,Approved,Yes,Available,242,285
Medium,Rain,Sufficient,Delayed,Moderate,Approved,No,Delayed,268,285
Small,Storm,Insufficient,Delayed,Good,Pending,No,Available,363,373
Large,Storm,Insufficient,Delayed,Bad,Approved,Yes,Available,58,103
Small,Storm,Insufficient,Delayed,Good,Pending,No,Available,211,256
Medium,Rain,Sufficient,On-time,Moderate,Approved,No,Delayed,194,216
Small,Clear,Insufficient,Delayed,Good,Pending,No,Delayed,243,291
Small,Rain,Sufficient,Delayed,Good,Pending,Yes,Available,363,393
Medium,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,225,252
Medium,Clear,Sufficient,On-time,Good,Approved,No,Available,74,72
Small,Storm,Sufficient,On-time,Good,Pending,No,Delayed,306,332
Medium,Clear,Insufficient,Delayed,Good,Pending,No,Available,287,318
Large,Clear,Insufficient,On-time,Good,Approved,No,Available,97,146
Large,Storm,Sufficient,Delayed,Bad,Approved,Yes,Delayed,310,343
Medium,Storm,Sufficient,Delayed,Good,Pending,No,Delayed,356,366
Small,Clear,Insufficient,Delayed,Good,Approved,No,Delayed,197,223
Large,Rain,Sufficient,On-time,Moderate,Pending,Yes,Available,322,350
Large,Snow,Insufficient,On-time,Moderate,Approved,No,Delayed,234,279
Large,Clear,Insufficient,Delayed,Good,Approved,No,Available,97,131
Medium,Rain,Insufficient,On-time,Moderate,Approved,No,Available,173,211
Small,Snow,Sufficient,Delayed,Bad,Pending,No,Available,36,77
Large,Clear,Sufficient,Delayed,Good,Approved,No,Delayed,107,146
Medium,Clear,Sufficient,On-time,Moderate,Approved,No,Delayed,148,162
Large,Clear,Insufficient,On-time,Bad,Pending,No,Available,119,144
Large,Rain,Sufficient,On-time,Bad,Pending,Yes,Available,260,276
Medium,Storm,Insufficient,Delayed,Bad,Approved,Yes,Delayed,104,149
Large,Rain,Insufficient,Delayed,Moderate,Approved,No,Delayed,112,149
Medium,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,158,178
Medium,Snow,Insufficient,Delayed,Good,Approved,Yes,Available,210,232
Small,Rain,Sufficient,Delayed,Moderate,Pending,No,Available,107,121
Small,Storm,Insufficient,On-time,Moderate,Approved,Yes,Available,259,280
Medium,Rain,Insufficient,On-time,Good,Pending,No,Available,172,193
Medium,Snow,Sufficient,Delayed,Bad,Approved,Yes,Available,297,326
Small,Snow,Insufficient,Delayed,Good,Pending,Yes,Delayed,258,271
Large,Clear,Sufficient,On-time,Bad,Pending,Yes,Delayed,281,297
Medium,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,181,213
Medium,Storm,Sufficient,Delayed,Good,Approved,No,Available,333,348
Small,Snow,Insufficient,Delayed,Bad,Pending,Yes,Delayed,291,339
Large,Snow,Insufficient,On-time,Bad,Pending,Yes,Delayed,120,168
Medium,Storm,Sufficient,On-time,Moderate,Pending,Yes,Delayed,145,166
Small,Clear,Insufficient,Delayed,Bad,Pending,Yes,Delayed,337,359
Medium,Clear,Insufficient,On-time,Bad,Approved,Yes,Available,54,78
Small,Rain,Sufficient,Delayed,Bad,Approved,No,Available,283,302
Medium,Storm,Sufficient,On-time,Good,Pending,Yes,Delayed,125,146
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,98,111
Medium,Storm,Insufficient,Delayed,Bad,Approved,No,Delayed,159,200
Large,Rain,Insufficient,Delayed,Good,Approved,No,Available,354,401
Medium,Snow,Sufficient,On-time,Bad,Approved,Yes,Available,316,358
Small,Snow,Sufficient,On-time,Bad,Pending,Yes,Available,289,323
Large,Storm,Insufficient,Delayed,Good,Pending,No,Delayed,163,178
Medium,Rain,Sufficient,On-time,Moderate,Approved,No,Available,103,135
Large,Snow,Insufficient,Delayed,Moderate,Approved,No,Available,198,229
Large,Rain,Insufficient,Delayed,Bad,Approved,No,Delayed,56,99
Large,Clear,Sufficient,Delayed,Good,Pending,No,Delayed,215,250
Medium,Snow,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,250,281
Small,Storm,Insufficient,Delayed,Good,Approved,No,Delayed,189,204
Small,Clear,Insufficient,Delayed,Moderate,Approved,No,Delayed,182,209
Medium,Storm,Sufficient,On-time,Bad,Pending,Yes,Delayed,340,374
Small,Rain,Insufficient,On-time,Moderate,Approved,No,Delayed,197,212
Small,Storm,Insufficient,Delayed,Good,Approved,Yes,Delayed,61,79
Large,Rain,Sufficient,Delayed,Good,Approved,No,Available,331,345
Medium,Rain,Sufficient,On-time,Good,Approved,Yes,Available,260,294
Small,Snow,Sufficient,On-time,Good,Pending,Yes,Available,70,92
Large,Clear,Insufficient,Delayed,Good,Pending,Yes,Available,52,71
Small,Clear,Insufficient,On-time,Bad,Approved,Yes,Available,200,215
Large,Rain,Sufficient,On-time,Bad,Pending,No,Available,140,168
Medium,Clear,Insufficient,Delayed,Moderate,Pending,No,Delayed,177,204
Small,Snow,Sufficient,Delayed,Good,Pending,No,Available,93,115
Large,Rain,Sufficient,On-time,Bad,Approved,No,Available,188,220
Medium,Storm,Insufficient,Delayed,Bad,Pending,Yes,Available,59,88
Small,Storm,Insufficient,Delayed,Good,Pending,Yes,Available,249,274
Large,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,257,269
Small,Storm,Sufficient,On-time,Bad,Pending,Yes,Delayed,300,334
Small,Clear,Sufficient,Delayed,Bad,Pending,No,Delayed,264,279
Medium,Storm,Sufficient,Delayed,Moderate,Approved,Yes,Available,126,150
Large,Snow,Insufficient,Delayed,Good,Approved,No,Available,321,340
Medium,Storm,Sufficient,On-time,Moderate,Approved,Yes,Available,180,222
Small,Rain,Sufficient,Delayed,Moderate,Approved,No,Available,298,338
Small,Clear,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,258,275
Small,Rain,Insufficient,On-time,Moderate,Pending,No,Available,138,160
Large,Snow,Insufficient,Delayed,Bad,Approved,No,Available,140,186
Medium,Rain,Sufficient,On-time,Good,Pending,No,Available,209,242
Large,Storm,Insufficient,On-time,Bad,Approved,Yes,Delayed,195,231
Medium,Clear,Sufficient,Delayed,Moderate,Approved,No,Available,349,364
Small,Storm,Sufficient,On-time,Bad,Pending,Yes,Available,308,348
Medium,Snow,Insufficient,On-time,Bad,Pending,Yes,Available,163,211
Large,Snow,Insufficient,Delayed,Moderate,Pending,Yes,Available,306,350
Large,Clear,Sufficient,Delayed,Moderate,Approved,Yes,Available,265,314
Medium,Clear,Insufficient,Delayed,Bad,Approved,No,Available,272,304
Large,Clear,Sufficient,On-time,Good,Approved,No,Delayed,192,235
Large,Snow,Insufficient,On-time,Moderate,Pending,No,Delayed,149,190
Small,Clear,Sufficient,On-time,Good,Approved,Yes,Delayed,331,350
Large,Snow,Insufficient,On-time,Bad,Approved,Yes,Delayed,172,184
Large,Clear,Insufficient,On-time,Good,Approved,No,Delayed,190,212
Medium,Clear,Insufficient,On-time,Good,Pending,No,Available,343,382
Medium,Snow,Insufficient,Delayed,Good,Pending,Yes,Available,223,243
Medium,Storm,Insufficient,Delayed,Bad,Approved,Yes,Delayed,230,261
Large,Snow,Insufficient,On-time,Bad,Approved,No,Delayed,59,98
Large,Rain,Insufficient,On-time,Moderate,Approved,No,Delayed,69,80
Large,Snow,Insufficient,On-time,Good,Pending,Yes,Delayed,115,132
Medium,Storm,Sufficient,On-time,Moderate,Approved,No,Available,36,63
Small,Snow,Sufficient,On-time,Bad,Approved,Yes,Delayed,249,288
Small,Rain,Sufficient,On-time,Good,Approved,No,Available,306,328
Medium,Snow,Insufficient,Delayed,Good,Pending,Yes,Available,59,108
Small,Storm,Insufficient,On-time,Good,Pending,Yes,Delayed,202,225
Large,Storm,Sufficient,On-time,Moderate,Pending,No,Available,304,347
Medium,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,100,144
Small,Clear,Sufficient,Delayed,Bad,Approved,No,Delayed,78,123
Medium,Storm,Sufficient,Delayed,Bad,Pending,Yes,Delayed,273,289
Medium,Storm,Insufficient,Delayed,Bad,Pending,No,Available,233,264
Medium,Rain,Insufficient,On-time,Moderate,Approved,No,Available,152,171
Medium,Clear,Insufficient,Delayed,Good,Approved,No,Delayed,332,367
Small,Storm,Insufficient,Delayed,Bad,Approved,No,Delayed,133,172
Large,Storm,Sufficient,Delayed,Bad,Pending,No,Available,149,167
Medium,Rain,Sufficient,Delayed,Good,Approved,No,Available,190,214
Medium,Snow,Insufficient,Delayed,Good,Pending,No,Available,52,77
Small,Storm,Sufficient,Delayed,Good,Pending,No,Delayed,207,244
Medium,Storm,Insufficient,Delayed,Good,Pending,Yes,Available,134,173
Small,Storm,Sufficient,On-time,Good,Pending,No,Available,314,357
Large,Clear,Sufficient,Delayed,Moderate,Approved,No,Available,180,210
Large,Snow,Sufficient,Delayed,Moderate,Pending,No,Available,58,84
Large,Clear,Sufficient,On-time,Bad,Pending,Yes,Delayed,73,93
Small,Rain,Insufficient,Delayed,Moderate,Pending,No,Available,71,83
Medium,Rain,Sufficient,On-time,Good,Approved,No,Delayed,244,277
Large,Rain,Insufficient,On-time,Bad,Pending,No,Available,334,349
Large,Rain,Sufficient,Delayed,Good,Approved,No,Available,274,293
Medium,Storm,Insufficient,On-time,Moderate,Pending,Yes,Available,231,259
Small,Storm,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,346,373
Small,Snow,Insufficient,Delayed,Moderate,Approved,No,Delayed,34,51
Small,Rain,Sufficient,On-time,Moderate,Approved,Yes,Delayed,207,240
Medium,Storm,Insufficient,On-time,Bad,Approved,No,Delayed,247,270
Medium,Rain,Insufficient,On-time,Good,Pending,No,Available,99,132
Small,Snow,Insufficient,Delayed,Good,Pending,No,Delayed,310,358
Small,Snow,Insufficient,Delayed,Good,Approved,Yes,Available,349,383
Large,Clear,Sufficient,On-time,Bad,Approved,No,Available,310,312
Large,Snow,Sufficient,Delayed,Bad,Pending,No,Delayed,81,108
Medium,Clear,Insufficient,Delayed,Bad,Pending,Yes,Delayed,233,248
Small,Snow,Sufficient,Delayed,Bad,Approved,Yes,Available,129,140
Small,Rain,Insufficient,Delayed,Bad,Pending,No,Delayed,36,65
Small,Storm,Sufficient,Delayed,Bad,Pending,Yes,Available,316,326
Medium,Clear,Insufficient,On-time,Moderate,Pending,No,Available,64,82
Medium,Clear,Insufficient,On-time,Good,Pending,Yes,Available,56,78
Large,Snow,Sufficient,Delayed,Bad,Pending,Yes,Available,270,296
Medium,Clear,Sufficient,On-time,Good,Pending,No,Delayed,305,354
Medium,Storm,Insufficient,Delayed,Good,Approved,No,Delayed,166,195
Medium,Rain,Sufficient,On-time,Moderate,Pending,Yes,Delayed,112,144
Small,Rain,Sufficient,Delayed,Bad,Pending,Yes,Available,126,148
Large,Rain,Insufficient,Delayed,Good,Approved,No,Available,56,79
Large,Snow,Sufficient,Delayed,Bad,Approved,No,Available,172,208
Medium,Clear,Insufficient,Delayed,Good,Approved,No,Delayed,133,159
Small,Snow,Insufficient,Delayed,Bad,Approved,No,Available,312,359
Large,Storm,Sufficient,On-time,Good,Pending,No,Available,261,300
Large,Storm,Sufficient,On-time,Good,Pending,No,Available,162,207
Small,Rain,Sufficient,On-time,Good,Pending,No,Delayed,31,73
Large,Rain,Sufficient,On-time,Moderate,Approved,Yes,Available,76,125
Medium,Storm,Insufficient,On-time,Bad,Pending,No,Available,44,90
Small,Storm,Insufficient,Delayed,Bad,Approved,Yes,Available,153,173
Small,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Available,58,85
Large,Snow,Sufficient,On-time,Good,Pending,Yes,Available,153,178
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Delayed,335,380
Small,Snow,Insufficient,Delayed,Good,Pending,No,Available,61,74
Large,Storm,Insufficient,Delayed,Good,Pending,No,Delayed,200,214
Large,Clear,Sufficient,On-time,Good,Approved,Yes,Delayed,254,268
Medium,Clear,Insufficient,Delayed,Bad,Pending,No,Available,292,336
Small,Rain,Insufficient,Delayed,Good,Approved,No,Available,164,206
Medium,Rain,Sufficient,Delayed,Bad,Approved,No,Available,296,330
Large,Clear,Insufficient,On-time,Good,Pending,Yes,Available,106,154
Small,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,65,77
Large,Snow,Sufficient,On-time,Good,Approved,Yes,Available,161,205
Small,Rain,Insufficient,Delayed,Bad,Pending,Yes,Delayed,265,297
Medium,Snow,Insufficient,On-time,Good,Pending,Yes,Available,349,375
Small,Rain,Insufficient,Delayed,Good,Pending,Yes,Delayed,323,359
Medium,Storm,Sufficient,On-time,Moderate,Approved,Yes,Delayed,171,206
Medium,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Available,36,54
Large,Clear,Insufficient,Delayed,Moderate,Approved,No,Delayed,305,322
Small,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,148,196
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Delayed,308,331
Medium,Rain,Sufficient,Delayed,Good,Pending,Yes,Delayed,253,300
Medium,Rain,Insufficient,On-time,Bad,Pending,No,Available,90,110
Small,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,203,252
Large,Snow,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,39,75
Medium,Storm,Sufficient,On-time,Moderate,Pending,No,Delayed,88,101
Large,Snow,Sufficient,Delayed,Moderate,Pending,No,Delayed,70,84
Large,Snow,Sufficient,Delayed,Good,Pending,Yes,Delayed,331,368
Medium,Snow,Sufficient,On-time,Good,Pending,No,Delayed,74,109
Small,Storm,Insufficient,On-time,Good,Approved,Yes,Available,167,210
Small,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,255,289
Medium,Storm,Insufficient,On-time,Moderate,Approved,Yes,Delayed,138,164
Medium,Clear,Insufficient,Delayed,Good,Approved,Yes,Available,142,158
Medium,Snow,Sufficient,On-time,Good,Pending,No,Delayed,115,134
Small,Storm,Sufficient,Delayed,Bad,Approved,Yes,Delayed,72,117
Large,Snow,Sufficient,Delayed,Bad,Pending,No,Delayed,349,392
Medium,Rain,Insufficient,Delayed,Bad,Approved,No,Available,170,192
Small,Rain,Insufficient,On-time,Good,Pending,No,Delayed,202,232
Small,Storm,Sufficient,On-time,Good,Approved,Yes,Delayed,213,237
Small,Clear,Sufficient,Delayed,Good,Approved,No,Delayed,75,121
Medium,Rain,Insufficient,Delayed,Bad,Pending,No,Delayed,326,345
Small,Clear,Insufficient,On-time,Good,Approved,No,Available,92,137
Large,Snow,Sufficient,Delayed,Moderate,Approved,No,Delayed,198,244
Large,Rain,Sufficient,Delayed,Bad,Pending,No,Delayed,220,239
Medium,Storm,Sufficient,Delayed,Good,Approved,No,Delayed,153,197
Medium,Storm,Sufficient,Delayed,Moderate,Pending,Yes,Available,184,202
Large,Clear,Sufficient,On-time,Bad,Approved,Yes,Available,316,340
Large,Clear,Insufficient,On-time,Good,Pending,Yes,Delayed,84,101
Medium,Rain,Insufficient,Delayed,Bad,Pending,Yes,Delayed,305,351
Small,Rain,Sufficient,On-time,Good,Pending,No,Available,216,259
Large,Storm,Sufficient,Delayed,Bad,Pending,Yes,Delayed,345,363
Medium,Storm,Insufficient,Delayed,Moderate,Approved,No,Available,52,98
Large,Snow,Insufficient,On-time,Bad,Pending,No,Available,268,302
Large,Storm,Sufficient,Delayed,Good,Approved,No,Delayed,258,293
Medium,Snow,Insufficient,Delayed,Bad,Pending,Yes,Available,322,340
Small,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,253,269
Medium,Rain,Sufficient,On-time,Bad,Pending,No,Delayed,242,291
Large,Storm,Sufficient,On-time,Bad,Approved,Yes,Delayed,352,365
Small,Storm,Sufficient,Delayed,Bad,Approved,Yes,Delayed,165,182
Small,Storm,Sufficient,On-time,Good,Pending,Yes,Available,163,200
Small,Snow,Sufficient,Delayed,Good,Pending,Yes,Available,42,73
Small,Clear,Insufficient,Delayed,Good,Pending,Yes,Delayed,60,82
Medium,Snow,Sufficient,On-time,Good,Approved,Yes,Delayed,346,376
Medium,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,54,73
Medium,Storm,Insufficient,Delayed,Good,Pending,Yes,Available,132,164
Large,Clear,Insufficient,Delayed,Moderate,Pending,No,Delayed,229,273
Large,Storm,Sufficient,On-time,Moderate,Pending,No,Delayed,96,109
Small,Snow,Insufficient,Delayed,Good,Pending,Yes,Available,113,137
Large,Clear,Sufficient,Delayed,Good,Pending,Yes,Available,39,67
Small,Storm,Insufficient,On-time,Bad,Approved,No,Available,226,246
Large,Snow,Insufficient,On-time,Bad,Approved,Yes,Available,68,109
Medium,Clear,Insufficient,On-time,Good,Pending,Yes,Delayed,280,304
Small,Snow,Sufficient,On-time,Bad,Pending,Yes,Available,355,389
Medium,Storm,Sufficient,On-time,Bad,Pending,Yes,Delayed,77,115
